ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at
207.69.188.185,rns1.earthlink.net.,7029,WINDSTREAM,US,,Version: main/17458,,false,1.00,2021-05-03T22:25:03Z,2021-02-12T15:41:45Z
216.83.236.227,ns1.networktel.net.,7029,WINDSTREAM,US,,SERVFAIL,,false,1.00,2021-05-21T14:49:31Z,2021-02-12T15:43:14Z
208.38.65.35,dnscache2.izoom.net.,7029,WINDSTREAM,US,Becker,SERVFAIL,,false,1.00,2021-05-17T20:50:55Z,2021-02-12T15:46:42Z
200.56.224.11,ns.marcatel.com.mx.,19332,"Marcatel Com, S.A. de C.V.",MX,,Security,,false,0.99,2021-05-11T12:28:24Z,2021-02-12T15:50:33Z
200.57.2.108,dns1.bestel.com.mx.,18734,"Operbes, S.A. de C.V.",MX,Ecatepec,unknown,,false,0.92,2021-05-03T22:24:16Z,2021-02-12T15:50:54Z
209.143.0.10,primary.dns.bright.net.,7106,INDEPENDENTSFIBERNETWORK,US,Oakwood,9.16.11-Ubuntu,,false,0.99,2021-05-20T13:46:05Z,2021-02-12T15:53:20Z
200.76.5.147,dns-cache-gdl.alestra.net.mx.,11172,"Alestra, S. de R.L. de C.V.",MX,San Luis Potosí City,none,,false,0.99,2021-05-03T22:25:03Z,2021-02-12T15:53:47Z
200.94.26.115,,11172,"Alestra, S. de R.L. de C.V.",MX,Cuernavaca,none,,false,0.96,2021-05-11T12:31:46Z,2021-02-12T15:55:17Z
209.216.160.131,,11233,GORGE-NETWORKS,US,Grass Valley,,,false,0.95,2021-05-17T15:30:47Z,2021-02-12T15:58:06Z
209.216.160.2,,11233,GORGE-NETWORKS,US,Grass Valley,,,false,0.97,2021-05-03T22:24:50Z,2021-02-12T15:58:08Z
209.239.11.98,ns2.execulink.com.,7794,EXECULINK,CA,Springfield,9.11.4-P2-RedHat-9.11.4-26.P2.el7_9.3,,false,1.00,2021-05-03T22:24:15Z,2021-02-12T15:58:56Z
209.253.113.10,cachens2.mcleodusa.net.,7029,WINDSTREAM,US,Dallas,SERVFAIL,,false,1.00,2021-05-03T22:24:51Z,2021-02-12T15:59:37Z
68.87.72.130,chic-cns.area4.il.chicago.comcast.net.,7922,COMCAST-7922,US,Chicago,[SECURED],,true,1.00,2021-05-03T22:24:27Z,2021-02-12T16:04:26Z
68.87.74.166,cns.bonitasprngs.fl.naples.comcast.net.,7922,COMCAST-7922,US,Naples,[SECURED],,true,1.00,2021-05-03T22:24:16Z,2021-02-12T16:04:28Z
210.180.98.69,fns2.hananet.net.,9318,SK Broadband Co Ltd,KR,Gangseo-gu,,,false,0.72,2021-05-15T22:30:59Z,2021-02-12T16:04:57Z
210.181.4.25,ns2.cjdream.net.,9457,DREAMLINE CO.,KR,,DREAM-LINE!!!,,false,1.00,2021-05-09T06:31:43Z,2021-02-12T16:05:09Z
219.250.36.130,bns2.hananet.net.,9318,SK Broadband Co Ltd,KR,Seoul,,,false,1.00,2021-05-13T22:34:24Z,2021-02-12T16:06:29Z
219.252.1.100,ns1.skline.co.kr.,18302,SK Telecom,KR,Gwanak-gu,,,false,0.97,2021-05-18T02:51:32Z,2021-02-12T16:06:35Z
69.16.132.4,dns1.puregig.net.,12989,StackPath LLC,US,,PowerDNS Recursor 4.1.17 (built Jun 30 2020 14:59:38 by buildbot@a3480f4a5df2),,false,1.00,2021-05-20T13:46:14Z,2021-02-12T16:06:36Z
